Компания;Эконом;Расстояние;Время заказа;Погода;IOS/ Android;Цена;Процент на телефоне;сом за км;Время поездки/мин;Повышенный спрос
Yandex Go;Комфорт ;10;18:14;Ясно;IOS;421;10%;42,1;40;Да
Yandex Go;Комфорт +;10;18:14;Ясно;IOS;471;10%;47,1;40;Да
Yandex Go;Комфорт +;10;18:14;Ясно;IOS;621;10%;62,1;40;Да
Yandex Go;Эконом;5,5;18:14;Ясно;IOS;397;10%;72,18181818;25;Да
Yandex Go;Комфорт;5,5;18:14;Ясно;IOS;420;10%;76,36363636;25;Да
Yandex Go;Комфорт +;5,5;18:14;Ясно;IOS;437;10%;79,45454545;25;Да
Yandex Go;Эконом;3,3;18:14;Ясно;IOS;334;10%;101,2121212;16;да
Yandex Go;Комфорт;3,3;18:14;Ясно;IOS;354;10%;107,2727273;16;да 
Yandex Go;Комфорт +;3,3;18:14;Ясно;IOS;374;10%;113,3333333;16;да
Yandex Go;Эконом;12;18:13;Ясно;IOS;549;11%;45,75;53;да
Yandex Go;Комфорт;12;18:13;Ясно;IOS;580;11%;48,33333333;53;да
Yandex Go;Комфорт +;12;18:13;Ясно;IOS;607;11%;50,58333333;53;да
Yandex Go;Эконом;8,1;18:13;Ясно;IOS;441;11%;54,44444444;37;да
Yandex Go;Комфорт;8,1;18:13;Ясно;IOS;470;11%;58,02469136;37;да
Yandex Go;Комфорт +;8,1;18:13;Ясно;IOS;488;11%;60,24691358;37;да
Yandex Go;Эконом;12;16:34;Ясно;IOS;427;38%;35,58333333;52;да
Yandex Go;Комфорт;12;16:34;Ясно;IOS;457;38%;38,08333333;52;да
Yandex Go;Комфорт +;12;16:34;Ясно;IOS;513;38%;42,75;52;да
Yandex Go;Эконом;8,1;16:35;Ясно;IOS;331;38%;40,86419753;31;да
Yandex Go;Комфорт;8,1;17:35;Ясно;IOS;336;38%;41,48148148;31;да
Yandex Go;Комфорт +;8,1;18:35;Ясно;IOS;347;38%;42,83950617;31;да
Yandex Go;Эконом;5,5;16:34;Ясно;IOS;371;38%;67,45454545;26;да
Yandex Go;Комфорт ;5,5;16:34;Ясно;IOS;396;38%;72;26;да
Yandex Go;Комфорт +;5,5;16:34;Ясно;IOS;414;38%;75,27272727;26;да
Yandex Go;Эконом;3,3;16:36;Ясно;IOS;310;38%;93,93939394;17;да
Yandex Go;Комфорт ;3,3;16:36;Ясно;IOS;332;38%;100,6060606;17;да
Yandex Go;Комфорт +;3,3;16:36;Ясно;IOS;344;38%;104,2424242;17;да
Yandex Go;Эконом;10;16:33;Ясно;IOS;329;38%;32,9;36;да
Yandex Go;Комфорт ;10;16:33;Ясно;IOS;386;38%;38,6;36;да
Yandex Go;Комфорт +;10;16:33;Ясно;IOS;471;38%;47,1;36;да
Yandex Go;Эконом;10;15:05;Ясно;IOS;359;62%;35,9;34;да
Yandex Go;Комфорт ;10;15:05;Ясно;IOS;382;62%;38,2;34;да
Yandex Go;Комфорт +;10;15:05;Ясно;IOS;404;62%;40,4;34;да
Yandex Go;Эконом;3,3;15:02;Ясно;IOS;190;62%;57,57575758;15;да
Yandex Go;Комфорт ;3,3;15:02;Ясно;IOS;209;62%;63,33333333;15;да
Yandex Go;Комфорт +;3,3;15:02;Ясно;IOS;227;62%;68,78787879;15;да
Yandex Go;Эконом;5,5;15:00;Ясно;IOS;241;64%;43,81818182;23;да
Yandex Go;Комфорт ;5,5;15:00;Ясно;IOS;262;64%;47,63636364;23;да
Yandex Go;Комфорт +;5,5;15:00;Ясно;IOS;277;64%;50,36363636;23;да
